,base,yng,mid,old
2011-10-03,14007523,6,0,15
2011-10-04,14004993,6,6,25
2011-10-05,14361209,8,4,25
2011-10-06,14360185,5,2,40
2011-10-07,13996154,12,4,20
2011-10-08,14059337,9,1,17
2011-10-09,14259714,15,3,15
2011-10-10,14383603,6,3,15
2011-10-11,13972215,8,3,34
2011-10-12,13778834,14,6,27
2011-10-13,14138930,4,4,63
2011-10-14,13924611,7,2,35
2011-10-15,14988635,13,0,25
2011-10-16,15720377,4,3,19
2011-10-17,14489033,4,1,20
2011-10-18,14558229,12,1,33
2011-10-19,14576629,8,4,75
2011-10-20,14284027,9,3,28
2011-10-21,14375729,5,5,24
2011-10-22,14758091,4,3,18
2011-10-23,15316096,2,5,17
2011-10-24,14410269,12,2,33
2011-10-25,14462707,7,2,159
2011-10-26,14470678,12,3,37
2011-10-27,14496196,11,4,40
2011-10-28,14618193,17,1,43
2011-10-29,14486290,12,1,18
2011-10-30,15283474,12,8,17
2011-10-31,14866568,5,5,29
2011-11-01,14593586,6,4,27
2011-11-02,14426600,9,0,26
2011-11-03,15388081,7,1,15
2011-11-04,14855270,12,4,22
2011-11-05,15308515,8,8,32
2011-11-06,15855381,8,1,19
2011-11-07,14940191,11,5,25
2011-11-08,14344016,8,7,23
2011-11-09,14742899,6,4,15
2011-11-10,14749801,9,2,69
2011-11-11,15408676,5,5,22
2011-11-12,15491959,4,5,15
2011-11-13,15794348,9,4,18
2011-11-14,14845135,10,2,34
2011-11-15,14847622,7,3,18
2011-11-16,14892027,9,2,31
2011-11-17,14869749,6,4,33
2011-11-18,14694820,8,5,36
2011-11-19,15352746,10,5,19
2011-11-20,16761702,13,1,22
2011-11-21,15158239,10,4,35
2011-11-22,14695861,17,4,25
2011-11-23,15715007,14,4,29
2011-11-24,15231711,11,4,22
2011-11-25,14962771,6,5,27
2011-11-26,15367466,14,5,20
2011-11-27,16119210,13,1,29
2011-11-28,15150688,23,3,25
2011-11-29,14799340,21,4,71
2011-11-30,15814099,29,7,36
2011-12-01,15546210,11,2,22
2011-12-02,15657996,15,2,59
2011-12-03,15700678,16,2,28
2011-12-04,16054808,10,1,23
2011-12-05,15132154,13,1,23
2011-12-06,14882433,15,2,31
2011-12-07,16177558,6,3,20
2011-12-08,15004651,6,2,23
2011-12-09,17290384,12,5,15
2011-12-10,16355714,7,3,26
2011-12-11,15996265,7,4,17
2011-12-12,14914580,12,1,53
2011-12-13,14781108,10,3,31
2011-12-14,15242574,10,2,16
2011-12-15,14795472,9,1,40
2011-12-16,15314344,13,4,24
2011-12-17,15316824,9,2,37
2011-12-18,15623711,4,3,22
2011-12-19,15328216,4,7,25
2011-12-20,14697378,11,7,20
2011-12-21,15127009,11,17,43
2011-12-22,14979481,8,8,21
2011-12-23,16064562,22,4,20
2011-12-24,16429519,17,2,16
2011-12-25,15939137,8,5,11
2011-12-26,15016442,19,4,17
2011-12-27,15003115,12,5,23
2011-12-28,15357503,9,3,36
2011-12-29,16132425,11,3,16
2011-12-30,16211375,5,2,20
2011-12-31,20324010,10,0,28
2012-01-01,17927226,17,7,13
2012-01-02,15318602,9,3,13
2012-01-03,15737503,37,2,15
2012-01-04,15730483,16,1,34
2012-01-05,15889133,11,2,21
2012-01-06,15915550,15,2,23
2012-01-07,16166379,9,1,13
2012-01-08,16412681,18,1,25
2012-01-09,16957644,21,2,19
2012-01-10,15775935,19,5,66
2012-01-11,15761936,17,4,28
2012-01-12,15648469,21,5,39
2012-01-13,15735136,8,0,24
2012-01-14,16151739,12,1,21
2012-01-15,17142520,6,3,17
2012-01-16,16099629,3,5,20
2012-01-17,16054005,13,1,20
2012-01-18,16012904,14,3,28
2012-01-19,16238717,4,2,28
2012-01-20,16634947,10,4,27
2012-01-21,16592642,9,1,18
2012-01-22,17774592,6,1,35
2012-01-23,17443621,16,1,16
2012-01-24,17115335,5,6,20
2012-01-25,16703457,14,2,23
2012-01-26,16474941,8,2,35
2012-01-27,16383992,15,5,20
2012-01-28,17247535,7,1,17
2012-01-29,17901237,14,3,12
2012-01-30,16638220,12,3,13
2012-01-31,16384372,14,6,27
2012-02-01,17090639,7,0,33
2012-02-02,17382269,13,0,24
2012-02-03,17328746,14,4,17
2012-02-04,17021779,13,4,16
2012-02-05,18402726,10,0,20
2012-02-06,17071184,12,5,20
2012-02-07,17392761,11,4,19
2012-02-08,17425610,9,1,27
2012-02-09,17209747,15,7,52
2012-02-10,17216565,12,0,17
2012-02-11,17547930,11,2,21
2012-02-12,18385997,13,4,13
2012-02-13,17443221,10,2,19
2012-02-14,18297103,9,3,17
2012-02-15,17261566,7,2,29
2012-02-16,17331308,11,2,28
2012-02-17,17413755,11,2,31
2012-02-18,17785520,9,3,31
2012-02-19,18684928,11,0,21
2012-02-20,17157564,10,4,34
2012-02-21,17207879,13,4,45
2012-02-22,18158237,92,3,25
2012-02-23,17607803,31,2,44
2012-02-24,17814860,15,2,37
2012-02-25,17901067,12,2,29
2012-02-26,18998963,11,2,23
2012-02-27,17341587,11,1,21
2012-02-28,17298279,11,5,31
2012-02-29,19171168,6,4,31
2012-03-01,17688744,14,3,16
2012-03-02,17492313,12,1,18
2012-03-03,18008687,8,2,14
2012-03-04,18623925,7,2,14
2012-03-05,17760748,16,4,9
2012-03-06,18020845,13,1,29
2012-03-07,18471395,20,3,29
2012-03-08,18329048,15,5,21
2012-03-09,18189269,5,4,13
2012-03-10,18490387,6,1,9
2012-03-11,18999676,9,0,12
2012-03-12,17730962,11,5,15
2012-03-13,17842915,7,4,21
